"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-01","60","65","47"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-02","47","53","40"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-03","50","60","43"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-04","50","63","38"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-05","54","62","43"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-06","49","64","40"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-07","51","62","38"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-08","60","76","50"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-09","50","56","40"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-10","49","69","33"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-11","62","78","47"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-12","63","72","35"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-13","45","65","32"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-14","47","51","33"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-15","31","33","25"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-16","25","34","18"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-17","30","45","20"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-18","49","66","40"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-19","51","56","36"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-20","39","49","29"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-21","40","43","36"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-22","49","65","42"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-23","64","69","62"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-24","64","64","61"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-25","62","71","52"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-26","57","64","53"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-27","58","61","47"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-28","51","64","42"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-29","52","69","37"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-30","58","73","46"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-01-31","61","76","46"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-02-01","60","72","47"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-02-02","61","73","51"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-02-03","63","72","52"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-02-04","60","68","51"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-02-05","58","66","52"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-02-06","58","73","46"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-02-07","56","72","43"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-02-08","67","76","61"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-02-09","70","79","64"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-02-10","70","76","66"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-02-11","71","78","52"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-02-12","53","61","45"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-02-13","52","66","37"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-02-14","53","68","40"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-02-15","62","74","54"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-02-16","65","70","62"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-02-17","54","63","39"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-02-18","44","58","35"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-02-19","47","66","33"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-02-20","58","78","43"
"USW00012960","HOUSTON INTERCONTINENTAL AIRPORT, TX US","2024-02-21","66","79","55"
