"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-01","54","63","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-02","52","53","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-03","51","55","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-04","53","62","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-05","58","60","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-06","55","62","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-07","58","62","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-08","57","63","56"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-09","59","62","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-10","56","59","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-11","55","60","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-12","58","69","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-13","60","63","54"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-14","58","60","55"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-15","54","56","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-16","51","56","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-17","50","58","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-18","49","56","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-19","52","55","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-20","52","55","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-21","48","57","40"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-22","52","60","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-23","56","63","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-24","54","64","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-25","54","69","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-26","58","68","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-27","53","58","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-28","49","57","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-29","51","53","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-30","48","55","41"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-01-31","47","60","36"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-02-01","48","57","39"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-02-02","48","62","40"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-02-03","54","58","50"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-02-04","52","60","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-02-05","55","57","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-02-06","50","59","41"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-02-07","50","61","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-02-08","51","63","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-02-09","52","64","43"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2023-02-10","53","58","44"
